N,Iterative,Dynamic Programming
500,0.000000334,0.000001203
1000,0.000000702,0.000002412
2000,0.000001381,0.000005077
3000,0.000002100,0.000007136
4000,0.000002739,0.000009220
5000,0.000003434,0.000011762
